nilai_tugas,nilai_kuis,nilai_uts,nilai_uas,absensi,jam_belajar,label
85,80,78,90,95,10,Lulus
78,75,80,82,88,7,Lulus
92,88,85,95,98,12,Lulus
60,65,55,58,70,3,Tidak Lulus
45,50,40,42,60,2,Tidak Lulus
88,85,82,90,92,9,Lulus
74,70,72,78,85,6,Lulus
55,60,50,52,65,4,Tidak Lulus
95,90,92,98,100,15,Lulus
80,78,75,82,90,8,Lulus
30,35,28,25,40,1,Tidak Lulus
70,72,68,74,78,5,Lulus
65,60,62,68,72,5,Lulus
50,45,48,42,55,3,Tidak Lulus
82,80,78,85,90,9,Lulus
40,42,35,38,50,2,Tidak Lulus
90,92,88,95,98,14,Lulus
75,70,72,78,80,7,Lulus
68,65,62,70,75,4,Tidak Lulus
58,55,52,60,65,3,Tidak Lulus
86,82,80,88,92,10,Lulus
72,68,70,76,82,6,Lulus
48,52,45,50,58,2,Tidak Lulus
93,90,88,96,99,16,Lulus
77,75,72,80,86,8,Lulus
62,58,60,64,68,4,Tidak Lulus
84,82,78,86,90,9,Lulus
56,54,50,52,62,3,Tidak Lulus
70,68,72,74,80,5,Lulus
88,85,82,90,94,11,Lulus
44,40,38,42,50,2,Tidak Lulus
80,78,75,82,88,8,Lulus
90,88,85,92,96,13,Lulus
52,48,50,54,60,3,Tidak Lulus
76,74,70,78,84,7,Lulus
